"Time
(hours)","Inflow
(cfs)","Storage
(acre-feet)","Elevation
(feet)","Primary
(cfs)"
5.00,0.00,0.000,365.89,0.00
5.50,0.00,0.000,365.89,0.00
6.00,0.00,0.000,365.89,0.00
6.50,0.00,0.000,365.89,0.00
7.00,0.00,0.000,365.89,0.00
7.50,0.00,0.000,365.89,0.00
8.00,0.00,0.000,365.89,0.00
8.50,0.00,0.000,365.89,0.00
9.00,0.00,0.000,365.89,0.00
9.50,0.00,0.000,365.89,0.00
10.00,0.00,0.000,365.89,0.00
10.50,0.03,0.000,366.08,0.00
11.00,4.57,0.045,369.04,6.07
11.50,24.53,0.099,369.18,16.51
12.00,269.85,2.433,369.51,51.75
12.50,"1,060.97",26.951,371.55,457.53
13.00,415.77,33.644,371.87,542.54
13.50,217.96,25.482,371.48,439.60
14.00,150.80,16.913,371.06,339.18
14.50,117.61,10.152,370.60,236.54
15.00,102.51,6.979,370.15,150.32
15.50,92.22,5.576,369.95,116.44
16.00,82.50,4.777,369.84,98.43
16.50,73.23,4.190,369.75,85.80
17.00,67.93,3.748,369.69,76.82
17.50,64.22,3.437,369.65,70.60
18.00,60.65,3.201,369.61,65.94
18.50,57.12,2.990,369.59,62.05
19.00,53.46,2.788,369.56,58.32
19.50,49.77,2.588,369.53,54.62
20.00,46.04,2.387,369.50,50.93
