"Time
(hours)","Inflow
(cfs)","Storage
(acre-feet)","Elevation
(feet)","Primary
(cfs)"
5.00,0.00,0.000,365.89,0.00
5.50,0.00,0.000,365.89,0.00
6.00,0.00,0.000,365.89,0.00
6.50,0.00,0.000,365.89,0.00
7.00,0.00,0.000,365.89,0.00
7.50,0.00,0.000,365.89,0.00
8.00,0.00,0.000,365.89,0.00
8.50,0.00,0.000,365.89,0.00
9.00,0.00,0.000,365.89,0.00
9.50,0.00,0.000,365.89,0.00
10.00,0.00,0.000,365.89,0.00
10.50,0.00,0.000,365.89,0.00
11.00,0.00,0.000,365.89,0.00
11.50,0.00,0.000,365.89,0.00
12.00,61.83,0.215,369.19,18.01
12.50,435.86,9.414,370.49,215.40
13.00,190.22,10.848,370.69,257.12
13.50,106.45,7.829,370.27,172.18
14.00,76.15,5.640,369.96,117.89
14.50,60.21,4.242,369.76,86.92
15.00,52.90,3.368,369.64,69.21
15.50,47.89,2.819,369.56,58.88
16.00,43.07,2.423,369.51,51.56
16.50,38.41,2.090,369.46,45.95
17.00,35.77,1.818,369.42,41.38
17.50,33.94,1.620,369.39,38.06
18.00,32.16,1.466,369.37,35.64
18.50,30.38,1.328,369.35,33.59
19.00,28.51,1.197,369.33,31.65
19.50,26.61,1.068,369.31,29.73
20.00,24.67,0.939,369.30,27.81
