city,datetime,date,precip_inches,Tair
Burlington,2019-10-02T04:03:00Z,2019-10-02,0.08,20.555555555555554
Burlington,2019-10-02T04:24:00Z,2019-10-02,0.1,20.555555555555554
Burlington,2019-10-02T04:54:00Z,2019-10-02,0.030000000000000002,20
Burlington,2019-10-02T05:00:00Z,2019-10-02,0.025714285714285714,20
Burlington,2019-10-02T05:03:00Z,2019-10-02,0.02142857142857143,20
Burlington,2019-10-02T05:37:00Z,2019-10-02,0.017142857142857144,19.444444444444443
Burlington,2019-10-02T05:54:00Z,2019-10-02,0.01285714285714286,19.444444444444443
Burlington,2019-10-02T06:06:00Z,2019-10-02,0.00857142857142857,19.444444444444443
Burlington,2019-10-02T06:39:00Z,2019-10-02,0.0042857142857142885,18.88888888888889
Burlington,2019-10-02T06:54:00Z,2019-10-02,0,18.88888888888889
Burlington,2019-10-02T07:02:00Z,2019-10-02,0,18.88888888888889
Burlington,2019-10-02T07:35:00Z,2019-10-02,0,18.88888888888889
Burlington,2019-10-02T07:54:00Z,2019-10-02,0,18.88888888888889
Burlington,2019-10-02T08:00:00Z,2019-10-02,0,18.88888888888889
Burlington,2019-10-02T08:21:00Z,2019-10-02,0,18.333333333333332
Burlington,2019-10-02T08:54:00Z,2019-10-02,0,17.77777777777778
Burlington,2019-10-02T09:54:00Z,2019-10-02,0,16.666666666666668
Burlington,2019-10-02T10:24:00Z,2019-10-02,0.002,16.11111111111111
Burlington,2019-10-02T10:54:00Z,2019-10-02,0.004,15.555555555555555
Burlington,2019-10-02T11:00:00Z,2019-10-02,0.006,15.555555555555555
Burlington,2019-10-02T11:54:00Z,2019-10-02,0.008,14.444444444444445
Burlington,2019-10-02T12:43:00Z,2019-10-02,0.01,13.333333333333332
Burlington,2019-10-02T12:54:00Z,2019-10-02,0.01,12.777777777777777
Burlington,2019-10-02T14:22:00Z,2019-10-02,0.005,11.666666666666666
Burlington,2019-10-02T14:54:00Z,2019-10-02,0,11.11111111111111
Burlington,2019-10-02T14:59:00Z,2019-10-02,0,11.11111111111111
Burlington,2019-10-02T15:54:00Z,2019-10-02,0,11.11111111111111
Burlington,2019-10-02T16:54:00Z,2019-10-02,0,11.11111111111111
Burlington,2019-10-02T17:54:00Z,2019-10-02,0,11.11111111111111
Burlington,2019-10-02T18:33:00Z,2019-10-02,0,11.666666666666666
Burlington,2019-10-02T18:54:00Z,2019-10-02,0,11.666666666666666
Burlington,2019-10-02T19:54:00Z,2019-10-02,0,11.11111111111111
Burlington,2019-10-02T20:00:00Z,2019-10-02,0,11.11111111111111
Burlington,2019-10-02T20:54:00Z,2019-10-02,0,11.11111111111111
Burlington,2019-10-02T21:54:00Z,2019-10-02,0,8.88888888888889
Burlington,2019-10-02T22:54:00Z,2019-10-02,0,8.333333333333334
Burlington,2019-10-02T23:00:00Z,2019-10-02,0,8.333333333333334
Burlington,2019-10-02T23:54:00Z,2019-10-02,0,7.222222222222222
Burlington,2019-10-03T00:54:00Z,2019-10-02,0,7.222222222222222
Burlington,2019-10-03T01:54:00Z,2019-10-02,0,6.666666666666666
Burlington,2019-10-03T02:00:00Z,2019-10-02,0,6.666666666666666
Burlington,2019-10-03T02:54:00Z,2019-10-02,0,6.111111111111111
Burlington,2019-10-03T03:54:00Z,2019-10-02,0,5.555555555555555
Burlington,2019-10-03T04:54:00Z,2019-10-03,0,4.444444444444445
Burlington,2019-10-03T05:00:00Z,2019-10-03,0,4.444444444444445
Burlington,2019-10-03T05:54:00Z,2019-10-03,0,3.888888888888889
Burlington,2019-10-03T06:54:00Z,2019-10-03,0,3.888888888888889
Burlington,2019-10-03T07:54:00Z,2019-10-03,0,3.888888888888889
Burlington,2019-10-03T08:00:00Z,2019-10-03,0,3.888888888888889
Burlington,2019-10-03T08:54:00Z,2019-10-03,0,3.333333333333333
Burlington,2019-10-03T09:54:00Z,2019-10-03,0,3.333333333333333
Burlington,2019-10-03T10:54:00Z,2019-10-03,0,3.888888888888889
Burlington,2019-10-03T11:00:00Z,2019-10-03,0,3.888888888888889
Burlington,2019-10-03T11:54:00Z,2019-10-03,0,6.111111111111111
Burlington,2019-10-03T12:54:00Z,2019-10-03,0,7.222222222222222
Burlington,2019-10-03T13:54:00Z,2019-10-03,0,8.88888888888889
Burlington,2019-10-03T14:00:00Z,2019-10-03,0,8.88888888888889
Burlington,2019-10-03T14:54:00Z,2019-10-03,0,10.555555555555555
Burlington,2019-10-03T15:54:00Z,2019-10-03,0,10
Burlington,2019-10-03T16:54:00Z,2019-10-03,0,10
Burlington,2019-10-03T17:00:00Z,2019-10-03,0,10
Burlington,2019-10-03T17:54:00Z,2019-10-03,0,10.555555555555555
Burlington,2019-10-03T18:54:00Z,2019-10-03,0,10.555555555555555
Burlington,2019-10-03T19:54:00Z,2019-10-03,0,10
Burlington,2019-10-03T20:00:00Z,2019-10-03,0,10
